GEO_ID,NAME,TOTAL,OCCUPIED,VACANT,VACANT RATIO
20001,"Allen County, Kansas",6054,5273,781,0.1290056161
20003,"Anderson County, Kansas",3556,3108,448,0.125984252
20005,"Atchison County, Kansas",6814,6109,705,0.1034634576
20007,"Barber County, Kansas",2574,1916,658,0.2556332556
20009,"Barton County, Kansas",12370,10640,1730,0.1398544867
20011,"Bourbon County, Kansas",6770,5666,1104,0.1630723781
20013,"Brown County, Kansas",4482,3841,641,0.1430165105
20015,"Butler County, Kansas",26901,24660,2241,0.08330545333
20017,"Chase County, Kansas",1397,1056,341,0.2440944882
20019,"Chautauqua County, Kansas",1976,1401,575,0.2909919028
20021,"Cherokee County, Kansas",9113,7853,1260,0.1382640184
20023,"Cheyenne County, Kansas",1464,1181,283,0.1933060109
20025,"Clark County, Kansas",1042,836,206,0.197696737
20027,"Clay County, Kansas",3933,3388,545,0.1385710653
20029,"Cloud County, Kansas",4503,3665,838,0.1860981568
20031,"Coffey County, Kansas",3959,3477,482,0.1217479161
20033,"Comanche County, Kansas",938,747,191,0.2036247335
20035,"Cowley County, Kansas",15558,13322,2236,0.1437202725
20037,"Crawford County, Kansas",17997,15668,2329,0.1294104573
20039,"Decatur County, Kansas",1640,1295,345,0.2103658537
20041,"Dickinson County, Kansas",8778,7644,1134,0.1291866029
20043,"Doniphan County, Kansas",3364,2942,422,0.1254458977
20045,"Douglas County, Kansas",52846,48553,4293,0.08123604436
20047,"Edwards County, Kansas",1550,1257,293,0.1890322581
20049,"Elk County, Kansas",1491,1094,397,0.2662642522
20051,"Ellis County, Kansas",13166,11853,1313,0.09972656843
20053,"Ellsworth County, Kansas",3080,2352,728,0.2363636364
20055,"Finney County, Kansas",14185,13064,1121,0.07902714135
20057,"Ford County, Kansas",12550,11376,1174,0.09354581673
20059,"Franklin County, Kansas",11149,10233,916,0.08215983496
20061,"Geary County, Kansas",15928,13488,2440,0.1531893521
20063,"Gove County, Kansas",1319,1120,199,0.1508718726
20065,"Graham County, Kansas",1422,1103,319,0.2243319269
20067,"Grant County, Kansas",2930,2621,309,0.1054607509
20069,"Gray County, Kansas",2327,2092,235,0.1009883971
20071,"Greeley County, Kansas",638,531,107,0.1677115987
20073,"Greenwood County, Kansas",3666,2687,979,0.2670485543
